order_id,customer_age,gender,product_category,order_priority,warehouse_block,mode_of_shipment,customer_rating,cost_of_the_product,prior_purchases,discount_offered,weight_in_gms,reached_on_time
30,42.0,Female,Electronics,Medium,A,Ship,5.0,50.26,3,54.0,2277.0,1
31,66.0,Male,Clothing,Low,C,Road,1.0,64.29,1,36.0,4431.0,0
32,44.0,Male,Clothing,Low,B,Ship,4.0,98.45,5,24.0,2964.0,1
33,59.0,male,Home & Garden,Critical,B,Ship,,114.12,7,27.0,6623.0,1
34,45.0,Male,Clothing,High,D,Flight,5.0,469.99,7,23.0,1214.0,1
35,33.0,Female,Clothing,Medium,A,Ship,5.0,81.44,4,20.0,4527.0,0
36,32.0,Female,Home & Garden,Medium,F,Ship,4.0,57.38,1,10.0,3935.0,1
37,64.0,Other,Electronics,High,D,Road,4.0,443.9,7,52.0,1128.0,1
38,68.0,Female,Electronics,Low,D,Ship,,458.6,3,15.0,5112.0,0
39,61.0,Male,Electronics,Medium,B,Ship,2.0,337.64,4,10.0,5262.0,0
40,69.0,Male,Clothing,High,F,Ship,2.0,126.04,5,13.0,6639.0,0
41,20.0,Male,Electronics,Medium,A,Ship,5.0,517.96,1,42.0,3104.0,1
42,54.0,Male,Clothing,Low,A,Ship,3.0,145.73,3,41.0,6204.0,0
43,,Male,Sports,Medium,B,Flight,5.0,343.61,4,29.0,2329.0,1
44,24.0,Female,Sports,Critical,C,Ship,3.0,144.15,2,64.0,5073.0,0
45,38.0,Male,Home & Garden,Medium,B,Flight,3.0,161.51,4,44.0,6430.0,0
46,26.0,Male,Books,High,F,Ship,3.0,423.63,3,2.0,,1
47,56.0,Male,Clothing,Medium,C,Ship,5.0,30.19,3,46.0,2716.0,0
48,35.0,Female,Books,Critical,F,Flight,3.0,94.04,2,60.0,1800.0,0
49,21.0,Female,Clothing,Critical,A,Ship,4.0,236.49,2,55.0,2181.0,1
50,42.0,Female,Clothing,Medium,C,Flight,4.0,540.03,6,7.0,5701.0,0
51,31.0,Male,Clothing,Medium,F,Road,2.0,32.53,6,31.0,5515.0,0
52,67.0,Female,Electronics,High,A,Ship,5.0,154.84,7,56.0,6672.0,1
53,26.0,Male,Toys,High,F,Road,4.0,175.34,2,25.0,5516.0,0
54,43.0,Female,Electronics,Medium,C,Ship,5.0,1512.77,5,7.0,2684.0,0
55,19.0,Male,Clothing,High,A,Ship,5.0,268.88,3,19.0,4484.0,0
56,37.0,Male,Clothing,Low,F,Flight,1.0,57.01,1,12.0,4079.0,1
57,,Male,Electronics,Medium,D,Ship,4.0,192.09,5,44.0,6299.0,1
58,64.0,Female,Electronics,High,C,Ship,4.0,63.45,3,7.0,6798.0,0
59,24.0,Male,Electronics,Medium,C,Ship,5.0,289.02,7,17.0,4908.0,0
60,61.0,Female,Clothing,Medium,C,Ship,4.0,120.32,4,25.0,3829.0,1
61,25.0,Male,Books,Critical,A,Flight,4.0,246.32,7,32.0,1084.0,0
62,64.0,Male,Clothing,High,C,Ship,5.0,479.92,2,7.0,4749.0,0
63,52.0,Male,Electronics,Critical,F,Ship,5.0,343.71,4,65.0,5215.0,0
64,31.0,Male,Home & Garden,High,D,Flight,5.0,348.67,6,15.0,3374.0,1
65,34.0,Male,Toys,High,F,Ship,3.0,95.86,1,42.0,5378.0,1
66,,Male,Electronics,Medium,F,Ship,1.0,208.83,7,10.0,3338.0,1
67,67.0,Female,Clothing,Low,C,Ship,5.0,71.58,5,43.0,6032.0,1
68,57.0,Male,Toys,Medium,D,Ship,4.0,79.95,4,7.0,3996.0,1
69,21.0,Female,Electronics,Medium,D,Ship,2.0,276.09,1,64.0,3108.0,1
70,,Female,Clothing,Critical,D,Road,5.0,134.47,4,19.0,4708.0,0
71,23.0,Female,Electronics,Medium,D,Ship,4.0,468.84,6,48.0,6086.0,0
72,59.0,Male,Toys,Medium,B,Flight,1.0,163.56,3,14.0,1044.0,0
73,21.0,Male,Toys,High,D,Road,2.0,44.29,6,4.0,2114.0,0
74,46.0,Male,Sports,Medium,C,Ship,5.0,137.13,4,52.0,1640.0,0
75,35.0,Female,Clothing,Low,D,Ship,5.0,58.77,6,40.0,2485.0,1
76,43.0,Female,Clothing,Low,F,Road,3.0,1069.94,2,48.0,4962.0,0
77,61.0,Male,Electronics,High,B,Flight,3.0,34.81,2,22.0,5486.0,0
78,51.0,Male,Books,Medium,F,Flight,3.0,194.97,3,25.0,4434.0,1
79,27.0,Female,Books,Low,C,Ship,5.0,120.64,6,47.0,2213.0,1
80,53.0,Male,Clothing,Medium,C,Flight,3.0,216.73,5,59.0,5501.0,0
81,31.0,Female,Home & Garden,Medium,D,Ship,3.0,184.91,2,65.0,5914.0,0
82,,Male,Electronics,Medium,C,Flight,4.0,530.42,4,15.0,3884.0,1
83,,Female,Clothing,Critical,B,Flight,3.0,70.29,2,50.0,4412.0,1
84,32.0,Male,Home & Garden,Medium,F,Ship,4.0,55.49,6,22.0,5209.0,0
85,25.0,Male,Clothing,Low,C,Ship,3.0,438.6,3,50.0,2566.0,1
86,31.0,female,Clothing,Critical,C,Ship,3.0,566.93,6,54.0,4381.0,0
87,,Female,Electronics,High,B,Ship,1.0,117.74,6,44.0,4610.0,1
88,57.0,Male,Sports,Medium,A,Ship,5.0,656.07,5,10.0,1334.0,1
89,38.0,Male,Books,Medium,A,Flight,1.0,113.97,6,45.0,1598.0,0
90,33.0,Female,Toys,High,B,Ship,4.0,205.61,6,57.0,4643.0,1
91,62.0,Female,Sports,Medium,C,Ship,3.0,249.75,3,25.0,6520.0,0
92,35.0,Female,Clothing,Medium,B,Ship,2.0,1051.25,4,65.0,3881.0,1
93,64.0,Other,Clothing,Medium,B,Road,4.0,67.34,2,56.0,3817.0,1
94,41.0,Male,Toys,Medium,A,Ship,4.0,99.83,4,44.0,,1
95,43.0,Male,Home & Garden,High,D,Ship,4.0,188.02,2,21.0,3164.0,0
96,42.0,Female,Home & Garden,Medium,C,Ship,4.0,78.33,2,25.0,4696.0,0
97,62.0,Female,Home & Garden,Low,F,Flight,4.0,203.51,1,48.0,2299.0,1
98,58.0,Male,Books,High,B,Flight,4.0,331.16,6,5.0,2033.0,1
99,46.0,Male,Electronics,Low,A,Ship,5.0,452.8,7,21.0,6060.0,1
100,32.0,Female,Electronics,Medium,D,Road,1.0,111.96,3,37.0,1569.0,0
101,62.0,Male,Home & Garden,Medium,C,Ship,2.0,67.88,1,22.0,2326.0,0
102,18.0,Male,Books,High,B,Flight,5.0,261.49,6,63.0,2214.0,0
103,42.0,Male,Home & Garden,Medium,A,Ship,3.0,262.01,4,19.0,5850.0,1
104,,Female,Clothing,High,B,Ship,4.0,145.21,4,32.0,2702.0,0
105,26.0,Female,Clothing,Low,F,Ship,3.0,210.09,5,19.0,5157.0,1
106,41.0,Male,Sports,High,C,Road,5.0,350.43,6,43.0,4131.0,1
107,18.0,Female,Sports,High,C,Ship,3.0,4231.781522191426,7,24.0,1328.0,1
108,61.0,Female,Home & Garden,High,C,Ship,3.0,253.51,2,48.0,6919.0,0
109,25.0,Male,Clothing,Medium,C,Ship,2.0,246.86,1,14.0,2470.0,1
110,41.0,Female,Toys,Medium,A,Flight,4.0,287.62,5,26.0,1511.0,0
111,,Male,Home & Garden,Low,F,Ship,3.0,217.04,7,20.0,5646.0,1
112,68.0,Male,Sports,Medium,B,Road,5.0,47.65,1,25.0,6265.0,1
113,34.0,Male,Electronics,Medium,A,Ship,1.0,204.88,7,9.0,6633.0,1
114,25.0,Male,Clothing,Low,D,Ship,3.0,470.78,7,37.0,2679.0,0
115,52.0,Male,Books,Critical,C,Ship,1.0,37.67,4,54.0,4534.0,0
116,52.0,Female,Electronics,High,C,Flight,3.0,131.85,5,31.0,6971.0,1
117,50.0,Female,Clothing,Low,B,Road,3.0,129.82,3,47.0,4767.0,0
118,,Female,Clothing,Medium,C,Ship,3.0,88.62,5,26.0,,0
119,59.0,Male,Sports,High,C,Road,3.0,200.91,2,31.0,6614.0,0
120,56.0,Male,Clothing,Medium,B,Flight,3.0,67.42,4,35.0,5583.0,1
121,58.0,Male,Electronics,Medium,F,Flight,3.0,526.22,3,54.0,1326.0,1
122,45.0,Male,Toys,Medium,A,Ship,3.0,63.84,4,12.0,6457.0,0
123,24.0,Male,Home & Garden,Low,F,Road,5.0,700.52,2,49.0,4032.0,0
124,26.0,Female,Electronics,High,B,Flight,,32.34,4,17.0,4916.0,1
125,,Other,Electronics,Critical,C,Flight,5.0,163.87,6,28.0,1699.0,1
126,29.0,Male,Toys,Medium,C,Ship,3.0,37.38,3,9.0,4274.0,0
127,51.0,Male,Electronics,Medium,F,Ship,1.0,449.37,5,38.0,6063.0,1
128,50.0,Female,Home & Garden,Medium,D,Flight,2.0,350.64,5,2.0,,0
129,65.0,Male,Clothing,High,A,Ship,5.0,80.99,6,47.0,2399.0,0
130,40.0,Female,Books,High,C,Ship,5.0,59.7,5,41.0,1063.0,0
131,41.0,Female,Sports,Low,B,Ship,2.0,77.66,3,46.0,1097.0,0
132,54.0,Female,Home & Garden,High,F,Ship,2.0,46.31,6,25.0,1206.0,1
133,52.0,Male,Electronics,Low,A,Ship,5.0,84.08,5,31.0,5556.0,0
134,61.0,Female,Books,Low,D,Flight,5.0,44.11,1,26.0,5016.0,0
135,57.0,Male,Clothing,High,C,Ship,4.0,412.81,6,7.0,5377.0,1
136,39.0,Female,Toys,Medium,F,Road,5.0,413.54,1,17.0,5849.0,0
137,44.0,Male,Clothing,Medium,C,Ship,5.0,189.25,5,21.0,2459.0,1
138,52.0,Male,Home & Garden,High,F,Flight,4.0,534.87,6,62.0,2596.0,1
139,18.0,Male,Electronics,Low,D,Flight,3.0,116.24,2,49.0,4838.0,0
140,52.0,Male,Sports,Medium,B,Ship,2.0,69.41,3,0.0,6115.0,1
141,54.0,Female,Clothing,Medium,B,Road,4.0,102.57,6,2.0,4076.0,1
142,64.0,Female,Clothing,Medium,A,Flight,3.0,56.4,2,55.0,,0
143,31.0,Female,Electronics,Low,C,Ship,2.0,375.6,6,6.0,6790.0,1
144,20.0,Male,Electronics,Low,C,Ship,3.0,315.77,7,26.0,1781.0,1
145,18.0,Female,Electronics,High,C,Ship,3.0,72.09,4,14.0,5720.0,1
146,22.0,Male,Clothing,Critical,B,Road,4.0,187.72,6,31.0,2307.0,0
147,43.0,Female,Books,Low,A,Ship,2.0,95.88,2,48.0,3671.0,0
148,31.0,Female,Clothing,Medium,B,Ship,5.0,58.12,2,31.0,3498.0,0
149,56.0,Male,Sports,High,F,Ship,2.0,86.29,2,52.0,5574.0,1
150,44.0,Female,Electronics,Critical,C,Ship,,213.18,7,27.0,6452.0,0
151,26.0,Male,Home & Garden,Medium,F,Ship,4.0,240.35,5,35.0,4848.0,0
152,32.0,Male,Clothing,High,D,Ship,2.0,71.37,7,,3625.0,1
153,32.0,Male,Toys,Medium,F,Ship,5.0,327.28,4,9.0,5630.0,1
154,43.0,Male,Books,Critical,F,Ship,3.0,201.09,4,13.0,6423.0,0
155,59.0,Female,Clothing,Low,F,Flight,2.0,142.16,5,24.0,1160.0,0
156,30.0,Male,Sports,Critical,B,Ship,2.0,237.85,1,64.0,1411.0,1
157,68.0,Male,Electronics,Medium,F,Ship,4.0,111.08,7,38.0,2342.0,0
158,49.0,Female,Home & Garden,Critical,C,Ship,5.0,91.26,1,42.0,5487.0,0
159,56.0,Female,Electronics,Medium,A,Ship,5.0,551.58,4,49.0,1419.0,0
160,66.0,Female,Clothing,Medium,D,Road,4.0,488.93,6,,4194.0,1
161,69.0,Female,Electronics,High,C,Ship,,158.96,6,1.0,1385.0,1
162,49.0,Female,Sports,High,A,Ship,4.0,215.21,3,14.0,6911.0,0
163,21.0,Male,Clothing,High,C,Ship,,243.97,5,43.0,2429.0,0
164,47.0,Male,Sports,Medium,F,Road,1.0,243.2,2,43.0,3382.0,1
165,54.0,Male,Clothing,High,D,Ship,5.0,180.22,3,62.0,6373.0,0
166,40.0,Male,Electronics,Critical,C,Ship,5.0,105.0,7,36.0,4930.0,1
167,56.0,Female,Sports,Low,D,Road,,470.65,1,4.0,6044.0,1
168,62.0,Male,Books,Medium,B,Flight,5.0,195.08,4,31.0,2108.0,1
169,32.0,Female,Books,High,B,Flight,3.0,505.6,1,22.0,3768.0,1
170,60.0,Male,Home & Garden,High,F,Road,1.0,382.52,7,47.0,1185.0,0
171,46.0,Male,Sports,High,F,Ship,5.0,239.76,4,32.0,1034.0,1
172,53.0,Male,Sports,High,B,Ship,4.0,277.94,5,19.0,1246.0,1
173,30.0,Female,Electronics,High,C,Ship,3.0,514.36,6,1.0,5248.0,1
174,49.0,Female,Electronics,High,A,Flight,5.0,229.55,4,53.0,1759.0,0
175,24.0,Female,Electronics,Critical,A,Ship,2.0,156.34,3,25.0,6770.0,1
176,68.0,Male,Clothing,High,B,Ship,4.0,146.77,3,1.0,3839.0,1
177,39.0,Other,Clothing,High,A,Ship,5.0,811.14,3,65.0,5685.0,1
178,45.0,Male,Toys,Low,C,Flight,5.0,308.55,3,27.0,2431.0,1
179,19.0,Male,Clothing,Medium,A,Ship,4.0,252.51,2,14.0,3376.0,1
180,59.0,Other,Sports,Medium,A,Flight,3.0,50.2,1,51.0,2921.0,0
181,62.0,Male,Home & Garden,High,B,Road,2.0,207.36,5,38.0,5101.0,0
182,23.0,Female,Electronics,Medium,D,Ship,3.0,71.87,5,13.0,2816.0,1
183,45.0,Male,Electronics,Low,D,Ship,4.0,128.79,5,30.0,2872.0,0
184,45.0,Female,Clothing,Medium,C,Flight,3.0,192.98,1,45.0,3562.0,0
185,61.0,Female,Sports,High,D,Ship,3.0,31.6,7,39.0,1132.0,1
186,61.0,Male,Toys,High,F,Ship,3.0,426.52,4,58.0,6423.0,1
187,37.0,Female,Clothing,Critical,B,Flight,3.0,145.5,5,25.0,4638.0,1
188,47.0,Male,Books,Medium,D,Road,,224.94,7,15.0,1732.0,1
189,,Female,Clothing,Medium,A,Ship,3.0,75.12,5,1.0,1419.0,0
190,45.0,Male,Home & Garden,Medium,D,Ship,5.0,271.56,6,62.0,4875.0,0
191,,Male,Home & Garden,Medium,B,Ship,2.0,104.23,2,24.0,1892.0,1
192,,Male,Electronics,High,A,Ship,5.0,175.18,6,40.0,3166.0,0
193,50.0,Male,Electronics,Medium,A,Ship,4.0,108.09,5,54.0,4708.0,1
194,,Female,Electronics,Low,B,Ship,,236.87,5,2.0,6016.0,1
195,,Male,Clothing,Medium,C,Ship,3.0,409.95,4,26.0,6047.0,1
196,69.0,Male,Sports,Medium,C,Ship,5.0,234.93,5,13.0,4483.0,1
197,30.0,Male,Electronics,Low,B,Flight,3.0,69.25,5,32.0,1891.0,1
198,58.0,Male,Home & Garden,Medium,B,Ship,2.0,87.44,1,9.0,5002.0,1
199,20.0,Female,Clothing,Medium,B,Ship,,177.94,2,52.0,1499.0,1
200,56.0,Other,Sports,Medium,A,Flight,2.0,93.3,1,39.0,6260.0,0
201,,Male,Sports,Medium,A,Ship,4.0,73.5,7,23.0,2358.0,1
202,25.0,Female,Sports,High,B,Road,4.0,39.56,5,9.0,3416.0,1
203,44.0,Female,Clothing,Critical,A,Flight,3.0,52.0,2,48.0,4387.0,1
204,,Male,Clothing,Medium,F,Ship,1.0,196.4,6,27.0,6402.0,1
205,54.0,Female,Sports,High,B,Ship,4.0,73.29,4,32.0,3122.0,0
206,,Male,Electronics,Critical,A,Ship,1.0,168.0,1,46.0,4845.0,0
207,68.0,Female,Clothing,Medium,C,Ship,5.0,235.36,4,12.0,1055.0,0
208,59.0,Female,Electronics,Low,B,Ship,5.0,87.57,5,43.0,5250.0,1
209,61.0,Male,Home & Garden,Medium,B,Ship,5.0,627.3,5,26.0,1681.0,1
210,41.0,Female,Home & Garden,Medium,B,Flight,3.0,89.33,2,28.0,4808.0,1
211,32.0,Female,Home & Garden,High,D,Flight,4.0,65.37,6,39.0,2042.0,0
212,49.0,Male,Clothing,Low,B,Flight,1.0,152.08,4,6.0,2012.0,1
213,49.0,Female,Electronics,High,C,Ship,1.0,146.74,5,38.0,6333.0,0
214,41.0,Male,Books,Low,A,Ship,3.0,420.9,4,24.0,4942.0,0
215,58.0,Other,Clothing,Critical,B,Flight,4.0,39.7,4,27.0,1140.0,0
216,69.0,Female,Clothing,Critical,F,Flight,4.0,93.61,2,50.0,6699.0,0
217,66.0,Male,Home & Garden,Critical,A,Ship,3.0,452.51,2,48.0,2797.0,1
218,66.0,Male,Electronics,High,C,Ship,4.0,314.38,5,56.0,6020.0,1
219,69.0,Female,Electronics,Low,D,Ship,1.0,30.78,5,14.0,4677.0,1
220,29.0,Male,Clothing,High,C,Ship,3.0,180.11,4,1.0,4800.0,1
221,56.0,Male,Electronics,Medium,D,Ship,4.0,86.14,6,11.0,6564.0,0
222,19.0,Male,Electronics,High,A,Ship,5.0,919.16,1,52.0,5235.0,1
223,20.0,Male,Books,Medium,D,Ship,4.0,851.67,5,59.0,3580.0,1
224,66.0,Male,Clothing,Medium,A,Ship,5.0,554.44,4,65.0,5888.0,1
225,54.0,Male,Clothing,Critical,C,Ship,3.0,32.01,6,42.0,3853.0,1
226,66.0,Male,Home & Garden,Low,C,Road,3.0,500.67,7,33.0,3298.0,0
227,34.0,Female,Toys,Low,D,Ship,5.0,109.11,7,27.0,2348.0,0
228,66.0,Male,Electronics,Medium,F,Ship,3.0,235.39,4,4.0,6168.0,1
229,19.0,Male,Books,High,C,Road,4.0,149.27,3,34.0,1028.0,0
230,19.0,Male,Home & Garden,High,D,Flight,5.0,117.58,6,15.0,4005.0,1
231,45.0,Female,Electronics,High,B,Ship,4.0,97.64,7,37.0,2511.0,0
232,40.0,Male,Clothing,High,A,Flight,1.0,141.65,3,45.0,6358.0,0
233,54.0,Male,Clothing,Low,B,Ship,2.0,100.49,6,43.0,3198.0,1
234,,Male,Home & Garden,Medium,B,Road,3.0,550.79,1,43.0,5660.0,0
235,50.0,Female,Electronics,High,B,Ship,5.0,144.91,2,4.0,4060.0,0
236,18.0,Female,Clothing,High,D,Flight,5.0,608.77,1,45.0,2005.0,0
237,36.0,Female,Home & Garden,Medium,C,Flight,4.0,122.88,1,45.0,3430.0,1
238,19.0,Female,Clothing,Low,B,Flight,1.0,90.2,5,64.0,,0
239,61.0,Female,Books,Low,D,Flight,,361.25,4,28.0,4623.0,1
240,43.0,Male,Books,Low,C,Ship,5.0,177.0,7,1.0,5214.0,1
241,49.0,Female,Clothing,Medium,A,Flight,3.0,65.55,6,62.0,1864.0,1
242,23.0,Male,Toys,Low,C,Flight,1.0,556.22,1,35.0,5646.0,1
243,49.0,Female,Electronics,Medium,C,Ship,4.0,684.56,6,,1067.0,1
244,21.0,Female,Electronics,Low,B,Road,4.0,263.08,2,17.0,2797.0,0
245,28.0,Male,Clothing,High,D,Road,3.0,744.01,4,7.0,2326.0,1
246,34.0,Male,Home & Garden,High,F,Ship,5.0,254.26,6,27.0,6258.0,1
247,55.0,Male,Home & Garden,Medium,A,Ship,5.0,225.21,5,,6897.0,1
248,41.0,Female,Clothing,Medium,D,Ship,4.0,379.65,3,37.0,1286.0,1
249,22.0,Female,Electronics,Critical,B,Ship,5.0,44.02,1,63.0,2862.0,0
250,69.0,Female,Electronics,Medium,D,Flight,3.0,147.0,6,57.0,1397.0,1
251,51.0,Male,Books,Critical,F,Ship,4.0,142.58,4,,3677.0,0
252,23.0,Female,Books,Low,A,Ship,5.0,223.95,7,19.0,4258.0,1
253,39.0,Female,Home & Garden,High,C,Flight,4.0,115.29,3,59.0,3437.0,1
254,28.0,Female,Home & Garden,Medium,A,Ship,4.0,150.84,7,34.0,5921.0,1
255,65.0,Male,Home & Garden,Low,F,Ship,,408.7,6,36.0,2651.0,0
256,33.0,Male,Electronics,Critical,A,Ship,3.0,620.98,5,62.0,2902.0,1
257,50.0,Female,Clothing,Critical,A,Flight,3.0,162.38,2,34.0,4601.0,1
258,26.0,Female,Home & Garden,Medium,B,Ship,5.0,274.3,6,51.0,1925.0,1
259,23.0,Female,Clothing,Critical,C,Road,2.0,188.51,5,17.0,6715.0,1
260,33.0,Male,Electronics,Low,F,Flight,5.0,434.38,2,56.0,3523.0,1
261,46.0,Male,Toys,High,B,Ship,4.0,90.69,2,19.0,1874.0,1
262,20.0,Female,Books,Low,A,Flight,1.0,428.22,2,58.0,2024.0,1
263,,Male,Clothing,Medium,A,Ship,4.0,174.76,5,25.0,5792.0,0
264,53.0,Female,Home & Garden,High,D,Ship,1.0,151.82,1,12.0,4408.0,0
265,36.0,Male,Toys,Medium,B,Ship,2.0,637.34,3,20.0,4258.0,1
266,43.0,Male,Electronics,Low,F,Ship,5.0,102.79,4,54.0,3228.0,0
267,20.0,Female,Clothing,Medium,F,Ship,3.0,47.2,1,41.0,1145.0,1
268,36.0,Female,Clothing,Medium,F,Ship,1.0,252.89,1,22.0,4095.0,0
269,37.0,Male,Clothing,High,F,Ship,4.0,91.03,4,43.0,6393.0,1
270,49.0,Male,Books,Low,A,Flight,2.0,235.33,4,25.0,3214.0,0
271,24.0,Female,Clothing,High,A,Ship,3.0,41.52,7,64.0,3137.0,1
272,69.0,Male,Electronics,Medium,B,Ship,2.0,195.24,3,50.0,2951.0,0
273,58.0,Female,Electronics,Medium,C,Ship,1.0,84.14,6,26.0,2747.0,1
274,50.0,Male,Electronics,Medium,F,Flight,4.0,45.65,7,36.0,3117.0,1
275,57.0,Female,Clothing,High,A,Ship,3.0,41.43,1,39.0,4162.0,1
276,56.0,Female,Sports,Low,B,Flight,2.0,662.0,3,26.0,5902.0,1
277,35.0,Female,Electronics,Medium,F,Ship,4.0,91.69,1,64.0,6669.0,1
278,57.0,Male,Home & Garden,Medium,C,Ship,1.0,204.37,6,59.0,6062.0,0
279,18.0,Female,Home & Garden,High,F,Ship,4.0,162.56,6,55.0,5040.0,1
280,28.0,Male,Clothing,Low,D,Flight,1.0,120.17,4,51.0,4311.0,1
281,45.0,Male,Home & Garden,High,F,Ship,5.0,186.44,7,52.0,,0
282,42.0,Other,Home & Garden,Low,D,Ship,,194.05,2,13.0,2435.0,1
283,67.0,Female,Clothing,Low,C,Road,5.0,393.11,3,31.0,4518.0,1
284,40.0,Female,Clothing,Medium,D,Ship,3.0,127.63,3,34.0,4528.0,1
285,48.0,Male,Home & Garden,Low,C,Flight,1.0,117.03,2,48.0,,0
286,47.0,Male,Toys,Medium,B,Ship,2.0,257.4,6,13.0,2401.0,1
287,59.0,Male,Clothing,Critical,D,Road,5.0,122.97,1,58.0,3782.0,1
288,52.0,Female,Clothing,Low,F,Ship,4.0,173.09,7,4.0,2274.0,0
289,24.0,Female,Clothing,Medium,F,Ship,2.0,68.02,2,31.0,6128.0,1
290,33.0,Male,Electronics,Medium,B,Ship,3.0,96.77,6,21.0,1152.0,1
291,43.0,Female,Home & Garden,Medium,A,Ship,3.0,74.92,2,60.0,3952.0,1
292,65.0,Male,Clothing,Medium,C,Flight,3.0,397.34,5,20.0,2087.0,0
293,,Male,Electronics,High,A,Flight,5.0,349.9,1,32.0,4842.0,0
294,66.0,Male,Clothing,Low,A,Ship,2.0,129.56,2,50.0,6624.0,1
295,19.0,Male,Electronics,High,B,Flight,3.0,146.07,6,47.0,5090.0,1
296,18.0,male,Clothing,Medium,B,Flight,3.0,135.74,6,14.0,5453.0,1
297,65.0,Female,Electronics,Medium,D,Ship,4.0,72.83,2,2.0,5634.0,1
298,29.0,Male,Electronics,Medium,D,Ship,1.0,335.88,7,56.0,6245.0,1
299,22.0,Female,Books,Medium,D,Flight,2.0,383.14,5,55.0,3546.0,0
300,54.0,Male,Books,Low,D,Road,3.0,4741.442337610138,5,61.0,3633.0,1
301,49.0,Other,Electronics,Low,D,Flight,5.0,301.07,5,17.0,4137.0,0
302,26.0,Female,Clothing,Medium,F,Flight,2.0,241.49,4,55.0,3676.0,1
303,58.0,Female,Clothing,High,B,Road,5.0,51.65,3,47.0,3106.0,1
304,52.0,Male,Clothing,Low,C,Ship,3.0,190.18,5,4.0,3727.0,1
305,36.0,Female,Clothing,High,C,Road,3.0,115.22,1,13.0,6911.0,1
306,65.0,Female,Clothing,Medium,C,Ship,3.0,79.74,4,40.0,5246.0,1
307,33.0,Male,Sports,High,C,Flight,4.0,248.64,3,59.0,6032.0,0
308,20.0,Male,Electronics,Medium,C,Road,4.0,469.3,4,49.0,,0
309,37.0,Male,Electronics,Low,F,Ship,3.0,1794.74,5,62.0,6936.0,1
310,,Female,Sports,Critical,B,Flight,5.0,202.21,2,64.0,2217.0,1
311,50.0,Male,Home & Garden,Low,D,Road,5.0,253.19,2,31.0,4048.0,1
312,41.0,Male,Clothing,Medium,D,Ship,1.0,240.79,6,17.0,3330.0,0
313,69.0,Male,Clothing,Medium,D,Ship,4.0,267.51,4,17.0,3414.0,1
314,28.0,Male,Clothing,Medium,B,Flight,3.0,86.54,3,40.0,5923.0,0
315,66.0,Female,Clothing,Critical,B,Ship,5.0,64.73,3,50.0,2826.0,1
316,25.0,Male,Clothing,High,F,Ship,5.0,134.66,1,35.0,5295.0,0
317,53.0,Female,Clothing,High,F,Ship,3.0,155.43,5,4.0,2401.0,1
